,unpert,sci/tech,world,sports,business
perplexity,0.6697097773707833,0.4407700195105867,0.600005591221827,0.6128488031221299,0.4209008555106816
dist-1,0.09466197131736773,0.06891095010539057,0.08844461663439941,0.09720150362313189,0.0718055880377077
dist-2,0.10390972467785248,0.05905791705673306,0.07095418705969855,0.09098163961654208,0.046617452436985285
dist-3,0.10183549098641455,0.045315933422718425,0.056512075989214476,0.07410814776495958,0.02592989350338947
